shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
TAE:AUTO_6042089,49.344789,1.092917,3,3155
TAE:AUTO_6042089,49.343318,1.090846,4,3377
TAE:AUTO_6042089,49.34,1.08968,5,3756
TAE:AUTO_6042089,49.33965,1.09434,6,4097
TAE:AUTO_6042089,49.33992,1.09895,7,4433
TAE:AUTO_6042089,49.3422,1.101,8,4727
TAE:AUTO_6042089,49.3407,1.10146,9,4897
TAE:AUTO_6042089,49.334394,1.113802,10,6036
TAE:AUTO_6042089,49.329528,1.106736,11,6782
TAE:AUTO_6042089,49.3285,1.1038,12,7024
TAE:AUTO_6042089,49.32827,1.09924,13,7356
TAE:AUTO_6042089,49.327975,1.09557,14,7625
TAE:AUTO_6042089,49.329219,1.093977,15,7806
TAE:AUTO_6042089,49.32845,1.09572,16,7958
TAE:AUTO_6042090,49.32845,1.09572,1,0
TAE:AUTO_6042090,49.329219,1.093977,2,152
TAE:AUTO_6042090,49.327975,1.09557,3,333
TAE:AUTO_6042090,49.32827,1.09924,4,602
TAE:AUTO_6042090,49.3285,1.1038,5,934
TAE:AUTO_6042090,49.329794,1.10732,6,1228
TAE:AUTO_6042090,49.334394,1.113802,7,1923
TAE:AUTO_6042090,49.3422,1.101,8,3196
TAE:AUTO_6042090,49.34177,1.09795,9,3422
TAE:AUTO_6042090,49.33971,1.09438,10,3768
TAE:AUTO_6042090,49.34007,1.0895,11,4125
TAE:AUTO_6042090,49.343318,1.090846,12,4500
TAE:AUTO_6042090,49.344789,1.092917,13,4722
TAE:AUTO_6042090,49.35067,1.08466,14,5609
TAE:AUTO_6042090,49.3497,1.0534,15,7883
TAE:AUTO_6042091,49.2912,1.01434,1,0
TAE:AUTO_6042091,49.289,1.00735,2,564
TAE:AUTO_6042091,49.288956,1.005984,3,663
TAE:AUTO_6042091,49.290046,1.003432,4,885
TAE:AUTO_6042091,49.29193,1.00354,5,1095
TAE:AUTO_6042091,49.297187,1.006674,6,1722
TAE:AUTO_6042091,49.2992,1.0081,7,1969
TAE:AUTO_6042091,49.302384,1.010043,8,2350
TAE:AUTO_6042091,49.302505,1.013977,9,2637
TAE:AUTO_6042091,49.30397,1.018168,10,2982
TAE:AUTO_6042091,49.305814,1.024925,11,3515
TAE:AUTO_6042091,49.310023,1.025175,12,3983
TAE:AUTO_6042091,49.312383,1.027043,13,4279
TAE:AUTO_6042091,49.314811,1.032359,14,4750
TAE:AUTO_6042091,49.320276,1.046211,15,5927
TAE:AUTO_6042091,49.323805,1.055071,16,6681
TAE:AUTO_6042091,49.324378,1.058961,17,6971
TAE:AUTO_6042091,49.326081,1.066783,18,7570
TAE:AUTO_6042091,49.327174,1.072457,19,8000
TAE:AUTO_6042091,49.32853,1.07917,20,8511
TAE:AUTO_6042091,49.3318,1.093717,21,9629
TAE:AUTO_6042091,49.334389,1.113624,22,11104
TAE:AUTO_6042091,49.329528,1.106736,23,11841
TAE:AUTO_6042091,49.3285,1.1038,24,12083
TAE:AUTO_6042091,49.34233,1.1003,25,13642
TAE:AUTO_6042091,49.34637,1.09603,26,14188
TAE:AUTO_6042091,49.34964,1.09525,27,14556
TAE:AUTO_6042091,49.3529,1.09331,28,14945
TAE:AUTO_6042091,49.35519,1.09515,29,15233
TAE:AUTO_6042091,49.35796,1.09701,30,15569
TAE:AUTO_6042091,49.36114,1.09892,31,15949
TAE:AUTO_6042091,49.36381,1.09913,32,16247
TAE:AUTO_6042091,49.36312,1.10316,33,16549
TAE:AUTO_6042091,49.36464,1.10524,34,16776
TAE:AUTO_6042091,49.37061,1.10503,35,17440
TAE:AUTO_6042091,49.3725,1.10329,36,17685
TAE:AUTO_6042091,49.37483,1.10278,37,17947
TAE:AUTO_6042091,49.37779,1.10193,38,18282
TAE:AUTO_6042091,49.38078,1.10061,39,18628
TAE:AUTO_6042091,49.38504,1.09971,40,19106
TAE:AUTO_6042091,49.38958,1.09944,41,19612
TAE:AUTO_6042091,49.39124,1.09855,42,19807
TAE:AUTO_6042091,49.39071,1.09447,43,20109
TAE:AUTO_6042091,49.39211,1.09085,44,20415
TAE:AUTO_6042091,49.39268,1.08654,45,20734
TAE:AUTO_6042091,49.39528,1.08373,46,21088
TAE:AUTO_6042091,49.39742,1.08142,47,21379
TAE:AUTO_6042091,49.3986,1.0724,48,22047
TAE:AUTO_6042091,49.39822,1.06579,49,22528
TAE:AUTO_6042091,49.39805,1.05964,50,22975
TAE:AUTO_6042091,49.39974,1.05607,51,23295
TAE:AUTO_6042091,49.40139,1.05103,52,23705
TAE:AUTO_6042091,49.39976,1.04918,53,23930
TAE:AUTO_6042091,49.39844,1.04759,54,24117
TAE:AUTO_6042091,49.40039,1.04233,55,24556
TAE:AUTO_6042091,49.3987,1.03725,56,24970
TAE:AUTO_6042092,49.3987,1.037,1,0
TAE:AUTO_6042092,49.40039,1.04233,2,430
TAE:AUTO_6042092,49.39847,1.04812,3,901
TAE:AUTO_6042092,49.40021,1.04973,4,1127
TAE:AUTO_6042092,49.40119,1.05091,5,1266
TAE:AUTO_6042092,49.3996,1.05604,6,1678
TAE:AUTO_6042092,49.39686,1.06108,7,2154
TAE:AUTO_6042092,49.39818,1.06589,8,2533
TAE:AUTO_6042092,49.39843,1.07329,9,3071
TAE:AUTO_6042092,49.39734,1.08129,10,3664
TAE:AUTO_6042092,49.39515,1.08362,11,3960
TAE:AUTO_6042092,49.39234,1.08674,12,4346
TAE:AUTO_6042092,49.39194,1.0913,13,4680
TAE:AUTO_6042092,49.39055,1.09455,14,4962
TAE:AUTO_6042092,49.39091,1.09782,15,5203
TAE:AUTO_6042092,49.38938,1.09929,16,5404
TAE:AUTO_6042092,49.38546,1.09946,17,5840
TAE:AUTO_6042092,49.38054,1.10051,18,6393
TAE:AUTO_6042092,49.3776,1.10186,19,6734
TAE:AUTO_6042092,49.37476,1.10257,20,7054
TAE:AUTO_6042092,49.372,1.1035,21,7368
TAE:AUTO_6042092,49.3701,1.10528,22,7616
TAE:AUTO_6042092,49.36459,1.10507,23,8229
TAE:AUTO_6042092,49.36313,1.10344,24,8430
TAE:AUTO_6042092,49.36387,1.09916,25,8752
TAE:AUTO_6042092,49.36156,1.09882,26,9010
TAE:AUTO_6042092,49.35797,1.09687,27,9433
TAE:AUTO_6042092,49.35541,1.09512,28,9745
TAE:AUTO_6042092,49.35169,1.09297,29,10187
TAE:AUTO_6042092,49.3496,1.09512,30,10468
TAE:AUTO_6042092,49.34665,1.096,31,10802
TAE:AUTO_6042092,49.34283,1.0996,32,11301
TAE:AUTO_6042092,49.328401,1.10373,33,12933
TAE:AUTO_6042092,49.329794,1.10732,34,13237
TAE:AUTO_6042092,49.334394,1.113802,35,13932
TAE:AUTO_6042092,49.332439,1.094748,36,15334
TAE:AUTO_6042092,49.32832,1.07844,37,16605
TAE:AUTO_6042092,49.327143,1.072026,38,17089
TAE:AUTO_6042092,49.326139,1.066831,39,17483
TAE:AUTO_6042092,49.324507,1.059206,40,18066
TAE:AUTO_6042092,49.323875,1.055173,41,18368
TAE:AUTO_6042092,49.320397,1.046379,42,19115
TAE:AUTO_6042092,49.314894,1.031973,43,20328
TAE:AUTO_6042092,49.312567,1.027046,44,20770
TAE:AUTO_6042092,49.310191,1.025259,45,21064
TAE:AUTO_6042092,49.305856,1.024519,46,21550
TAE:AUTO_6042092,49.304232,1.018546,47,22020
TAE:AUTO_6042092,49.302332,1.013279,48,22457
TAE:AUTO_6042092,49.302482,1.010039,49,22694
TAE:AUTO_6042092,49.2996,1.0081,50,23044
TAE:AUTO_6042092,49.297047,1.006488,51,23351
